xmin	xmax	clickSelects	row_in_group	na_group
0.5	1.5	1	2	1
1.5	2.5	2	3	1
2.5	3.5	3	4	1
3.5	4.5	4	5	1
4.5	5.5	5	6	1
5.5	6.5	6	7	1
6.5	7.5	7	8	1
7.5	8.5	8	9	1
8.5	9.5	9	10	1
9.5	10.5	10	11	1
10.5	11.5	11	12	1
11.5	12.5	12	13	1
12.5	13.5	13	14	1
13.5	14.5	14	15	1
14.5	15.5	15	16	1
15.5	16.5	16	17	1
16.5	17.5	17	18	1
17.5	18.5	18	19	1
18.5	19.5	19	20	1
