x	xend	y	yend	showSelected1
2.5	2.37730702516294	4.33215145067372	3.65337138352519	1
2.37730702516294	2.27883774227784	3.65337138352519	3.21699001409852	2
2.27883774227784	2.20001199446947	3.21699001409852	2.93683388339922	3
2.20001199446947	2.13659631804797	2.93683388339922	2.75485646690755	4
2.13659631804797	2.08514944282634	2.75485646690755	2.63458376737753	5
2.08514944282634	2.04301766989283	2.63458376737753	2.55358046880849	6
2.04301766989283	2.00819252222982	2.55358046880849	2.49801638854843	7
2.00819252222982	1.97915731681159	2.49801638854843	2.45925254316149	8
1.97915731681159	1.95476016399929	2.45925254316149	2.43179529825471	9
1.95476016399929	1.93411789711158	2.43179529825471	2.41208316648528	10
1.93411789711158	1.91654588420507	2.41208316648528	2.39776282054169	11
1.91654588420507	1.90150732134912	2.39776282054169	2.38725090901128	12
1.90150732134912	1.88857659550335	2.38725090901128	2.379464169178	13
1.88857659550335	1.87741265742894	2.379464169178	2.37365007301799	14
1.87741265742894	1.86773949928564	2.37365007301799	2.36927856643492	15
1.86773949928564	1.85933169519835	2.36927856643492	2.36597161304434	16
1.85933169519835	1.85200357661445	2.36597161304434	2.36345655831905	17
1.85200357661445	1.84560104104668	2.36345655831905	2.36153476812489	18
1.84560104104668	1.83999528770584	2.36153476812489	2.3600602266302	19
1.83999528770584	1.8350779775051	2.3600602266302	2.35892473111958	20
1.8350779775051	1.83075745671186	2.35892473111958	2.35804752143568	21
1.83075745671186	1.82695578281136	2.35804752143568	2.35736793182896	22
1.82695578281136	1.82360636126224	2.35736793182896	2.35684012926662	23
1.82360636126224	1.82065205179058	2.35684012926662	2.35642930930294	24
1.82065205179058	1.81804363880676	2.35642930930294	2.35610892144301	25
1.81804363880676	1.8157385866174	2.35610892144301	2.35585862908818	26
1.8157385866174	1.81370001921441	2.35585862908818	2.35566279858081	27
1.81370001921441	1.81189587854516	2.35566279858081	2.35550937266025	28
1.81189587854516	1.81029822569284	2.35550937266025	2.3553890254439	29
1.81029822569284	1.80888265730516	2.3553890254439	2.35529452510003	30
